iter	Passed	Remaining
739	70443	24750
740	70535	24654
741	70628	24558
742	70719	24461
743	70813	24365
744	70904	24269
745	70995	24172
746	71088	24076
747	71182	23981
748	71285	23888
749	71378	23792
750	71470	23696
751	71567	23602
752	71662	23506
753	71760	23412
754	71852	23316
755	71944	23220
756	72038	23124
757	72135	23029
758	72226	22933
759	72317	22837
760	72410	22741
761	72503	22645
762	72599	22550
763	72693	22455
764	72789	22360
765	72885	22265
766	72980	22170
767	73073	22074
768	73166	21978
769	73258	21882
770	73351	21786
771	73445	21691
772	73540	21596
773	73632	21499
774	73725	21404
775	73818	21308
776	73914	21213
777	74007	21117
778	74100	21021
779	74192	20926
780	74285	20830
781	74374	20733
782	74467	20637
783	74559	20541
784	74654	20446
785	74744	20350
786	74838	20254
787	74931	20159
788	75026	20064
789	75118	19968
790	75210	19872
791	75308	19777
792	75402	19682
793	75497	19587
794	75591	19492
795	75684	19396
796	75777	19300
797	75868	19204
798	75961	19109
799	76056	19014
800	76146	18917
801	76246	18823
802	76345	18729
803	76440	18634
804	76535	18539
805	76632	18444
806	76726	18349
807	76821	18254
808	76913	18158
809	77008	18063
810	77101	17968
811	77194	17872
812	77293	17778
813	77385	17682
814	77482	17588
815	77577	17492
816	77672	17397
817	77763	17301
818	77859	17207
819	77957	17112
820	78053	17017
821	78148	16922
822	78249	16828
823	78341	16733
824	78432	16637
825	78527	16542
826	78618	16446
827	78712	16350
828	78809	16256
829	78906	16161
830	78997	16065
831	79091	15970
832	79186	15875
833	79279	15779
834	79374	15684
835	79467	15589
836	79565	15494
837	79660	15399
838	79754	15304
839	79848	15209
840	79944	15114
841	80036	15018
842	80129	14923
843	80227	14828
844	80317	14732
845	80414	14638
846	80508	14542
847	80604	14447
848	80696	14352
849	80799	14258
850	80896	14163
851	80990	14068
852	81082	13973
853	81175	13877
854	81272	13783
855	81363	13687
856	81459	13592
857	81555	13497
858	81652	13402
859	81746	13307
860	81841	13212
861	81937	13117
862	82029	13022
863	82124	12926
864	82219	12831
865	82310	12736
866	82401	12640
867	82494	12545
868	82585	12449
869	82680	12354
870	82772	12259
871	82862	12163
872	82956	12068
873	83053	11973
874	83149	11878
875	83240	11782
876	83337	11688
877	83431	11592
878	83527	11498
879	83622	11403
880	83719	11308
881	83814	11213
882	83912	11118
883	84007	11023
884	84101	10928
885	84195	10833
886	84292	10738
887	84387	10643
888	84483	10548
889	84577	10453
890	84670	10358
891	84763	10262
892	84856	10167
893	84949	10072
894	85042	9977
895	85138	9882
896	85229	9786
897	85322	9691
898	85412	9595
899	85503	9500
900	85594	9404
901	85689	9309
902	85782	9214
903	85874	9119
904	85966	9024
905	86062	8929
906	86155	8833
907	86250	8738
908	86345	8644
909	86446	8549
910	86540	8454
911	86633	8359
912	86728	8264
913	86824	8169
914	86918	8074
915	87016	7979
916	87112	7884
917	87204	7789
918	87294	7694
919	87389	7599
920	87486	7504
921	87578	7409
922	87672	7313
923	87766	7218
924	87860	7123
925	87951	7028
926	88046	6933
927	88140	6838
928	88237	6743
929	88329	6648
930	88421	6553
931	88511	6457
932	88603	6362
933	88698	6267
934	88792	6172
935	88890	6077
936	88981	5982
937	89074	5887
938	89174	5793
939	89271	5698
940	89366	5603
941	89459	5508
942	89550	5412
943	89642	5317
944	89734	5222
945	89825	5127
946	89921	5032
947	90014	4937
948	90106	4842
949	90199	4747
950	90297	4652
951	90389	4557
952	90484	4462
953	90575	4367
954	90664	4272
955	90760	4177
956	90851	4082
957	90944	3987
958	91036	3892
959	91128	3797
960	91221	3702
961	91312	3606
962	91405	3511
963	91498	3416
964	91594	3322
965	91689	3227
966	91782	3132
967	91879	3037
968	91972	2942
969	92065	2847
970	92156	2752
971	92248	2657
972	92339	2562
973	92432	2467
974	92522	2372
975	92621	2277
976	92713	2182
977	92808	2087
978	92900	1992
979	92992	1897
980	93083	1802
981	93176	1707
982	93271	1613
983	93364	1518
984	93456	1423
985	93549	1328
986	93643	1233
987	93739	1138
988	93831	1043
989	93923	948
990	94022	853
991	94119	759
992	94213	664
993	94307	569
994	94398	474
995	94489	379
996	94579	284
997	94673	189
998	94766	94
999	94858	0
